"hashtag_id","hashtag_name","country","rank","video_views","publish_count","industry_value"
"4232","gemini","Malaysia",1,84150986,17061,""
"7243453127734525954","geminiai","Malaysia",2,59167806,10657,""
"1626681107077126","aiteam","Malaysia",3,404401692,7441,""
"7132912384377077786","125members_offical","Malaysia",4,3553395,1350,"Vehicle & Transportation"
"1625975527916546","125zrmalaysia","Malaysia",5,14924082,2564,"Vehicle & Transportation"
"7133019660542296110","aigemini","Malaysia",6,9329842,3663,""
"1643106642334722","125zrmember","Malaysia",7,2736588,704,"Vehicle & Transportation"
"163968","manchesterunited","Malaysia",8,38395589,1825,"Sports & Outdoor"
"1928241","prompt","Malaysia",9,20968778,1528,""
"1668560534217729","mlbbcreator","Malaysia",10,7982112,641,"Games"
"39660411","125","Malaysia",11,5276174,1056,"Vehicle & Transportation"
"31343097","tudm","Malaysia",12,7006974,683,"Vehicle & Transportation"
"7143120066660761627","dausbatjo","Malaysia",13,66839862,605,""
"18948","chelsea","Malaysia",14,11836547,488,"Sports & Outdoor"
"37234","atm","Malaysia",15,5300243,458,""
"77481452","nailong","Malaysia",16,4821716,403,"Games"
"1650366644443137","tudmkuantan","Malaysia",17,2349261,673,"Vehicle & Transportation"
"1612877879380994","125member","Malaysia",18,735461,281,"Vehicle & Transportation"
"4858049","premierleague","Malaysia",19,23260823,716,"Sports & Outdoor"
"7456805798633406465","malaysiasarongmusicrun2025","Malaysia",20,1827936,92,"Sports & Outdoor"
"7538327656040202247","hutatm92","Malaysia",21,1486375,184,"Vehicle & Transportation"
"7302693644111675394","125zrmemberoffical","Malaysia",22,1296805,267,"Vehicle & Transportation"
"13711922","20","Malaysia",23,723782,167,""
"1666837600764934","aitrend","Malaysia",24,7023072,454,""
"1642628099886081","125zrmembers","Malaysia",25,761061,196,"Vehicle & Transportation"
"4516971","gimini","Malaysia",26,909715,541,""
"7191290643883229211","aisyahmie","Malaysia",27,26689840,293,""
"4919514","malamminggu","Malaysia",28,2231313,326,""
"1598244980730882","asramalife","Malaysia",29,3979023,461,""
"5367003","asrama","Malaysia",30,5309670,361,""
"1606411341730822","trendai","Malaysia",31,3697066,365,""
"163821","halamadrid","Malaysia",32,5806817,456,"Sports & Outdoor"
"7539511284232880129","bikf2025","Malaysia",33,575047,242,""
"1656530137903110","kcfest","Malaysia",34,845400,149,""
"81828585","toheewei","Malaysia",35,2456306,142,"Sports & Outdoor"
"7131616844599230491","bukandengkil","Malaysia",36,1502018,192,""
"2490933","srg","Malaysia",37,5308442,275,"Games"
"7457828883966984208","sarongmusicrun2025","Malaysia",38,115214,26,"Sports & Outdoor"
"32717191","bikf","Malaysia",39,220963,191,""
"898936","ggmu","Malaysia",40,3226614,285,"Sports & Outdoor"
"7004777594449035265","chentangjie","Malaysia",41,2099454,126,"Sports & Outdoor"
"296900","liverpoolfc","Malaysia",42,6064568,368,"Sports & Outdoor"
"7037096109562396678","aiprompt","Malaysia",43,2573520,384,""
"84259522","editfoto","Malaysia",44,4698954,167,""
"33901778","pramleesaloma","Malaysia",45,3344370,276,"News & Entertainment"
"7227516473148145670","trendgemini","Malaysia",46,1287674,306,""
"108769","airforce","Malaysia",47,4097652,210,"Vehicle & Transportation"
"7358858953079390250","geminiaipro","Malaysia",48,969851,387,""
"7450682686672207892","msmr2025","Malaysia",49,1664649,79,"Sports & Outdoor"
