"hashtag_id","hashtag_name","country","rank","video_views","publish_count","industry_value","crawl_date","crawl_time"
"52579052","uqashasenrose","Malaysia",1,141974023,1102,"News & Entertainment","2025-10-30","12:51:18"
"78885966","kamaladli","Malaysia",2,111980403,853,"News & Entertainment","2025-10-30","12:51:18"
"238194","str","Malaysia",3,11091188,656,"","2025-10-30","12:51:18"
"17308","dude","Malaysia",4,11111660,1641,"","2025-10-30","12:51:18"
"1598096827565062","muruganthunai","Malaysia",5,9642670,3303,"","2025-10-30","12:51:18"
"14900973","murugan","Malaysia",6,10768054,2777,"","2025-10-30","12:51:18"
"142651","ucl","Malaysia",7,15181270,438,"Sports & Outdoor","2025-10-30","12:51:18"
"20377","arsenal","Malaysia",8,11070813,819,"Sports & Outdoor","2025-10-30","12:51:18"
"1685024295924738","တစ်ရွာသားအချစ်ကပိုပါတယ်","Malaysia",9,1223802,1288,"","2025-10-30","12:51:18"
"20919365","cerai","Malaysia",10,44574101,294,"","2025-10-30","12:51:18"
"738019","championsleague","Malaysia",11,15452587,401,"Sports & Outdoor","2025-10-30","12:51:18"
"1665168590164997","applecidergummies","Malaysia",12,5221981,952,"Sports & Outdoor","2025-10-30","12:51:18"
"1861246","22","Malaysia",13,3066439,319,"","2025-10-30","12:51:18"
"7202130792746024987","byoncombat","Malaysia",14,125888443,803,"Sports & Outdoor","2025-10-30","12:51:18"
"46988","jesussaves","Malaysia",15,443629,1038,"","2025-10-30","12:51:18"
"7336777660191735810","aiteambatch2","Malaysia",16,42787347,594,"","2025-10-30","12:51:18"
"13297831","nefer","Malaysia",17,2900073,319,"Games","2025-10-30","12:51:18"
"1656218755488770","vetrivelmuruganukkuarogara","Malaysia",18,4205616,1213,"","2025-10-30","12:51:18"
"22088531","muruga","Malaysia",19,4280282,736,"","2025-10-30","12:51:18"
"51292514","tabunghaji","Malaysia",20,1916616,311,"","2025-10-30","12:51:18"
"23709","farina","Malaysia",21,7955304,212,"","2025-10-30","12:51:18"
"143249","juventus","Malaysia",22,4792899,156,"Sports & Outdoor","2025-10-30","12:51:18"
"7398204959109414928","aseansummit2025","Malaysia",23,35685275,1228,"","2025-10-30","12:51:18"
"1698565837521921","ikhmalnour_","Malaysia",24,22050591,583,"","2025-10-30","12:51:18"
"35863990","harisantrinasional","Malaysia",25,1138982,103,"Education","2025-10-30","12:51:18"
"463567","ilovemybestie","Malaysia",26,625389,157,"","2025-10-30","12:51:18"
"1691383042262017","ikhmalnour","Malaysia",27,12113113,350,"","2025-10-30","12:51:18"
"32250","emotion","Malaysia",28,1361901,384,"","2025-10-30","12:51:18"
"29546340","musimhujan","Malaysia",29,1756448,506,"","2025-10-30","12:51:18"
"7152040556486885381","applevinegargummies","Malaysia",30,589796,551,"Sports & Outdoor","2025-10-30","12:51:18"
"7006419891842940933","schoolair","Malaysia",31,1696733,200,"","2025-10-30","12:51:18"
"18539792","santri","Malaysia",32,4836251,125,"","2025-10-30","12:51:18"
"1595968564638726","tatamad","Malaysia",33,1853126,204,"","2025-10-30","12:51:18"
"20540","chopped","Malaysia",34,2229459,208,"","2025-10-30","12:51:18"
"16984841","esoksekolah","Malaysia",35,190163,102,"","2025-10-30","12:51:18"
"1621321275139073","fasa4","Malaysia",36,1632985,49,"","2025-10-30","12:51:18"
"41621197","anakyatim","Malaysia",37,861866,92,"","2025-10-30","12:51:18"
"1599728184155138","cukaapel","Malaysia",38,1081967,432,"Sports & Outdoor","2025-10-30","12:51:18"
"8179554","uefachampionsleague","Malaysia",39,1742605,139,"Sports & Outdoor","2025-10-30","12:51:18"
"7203930102864805914","strfasa4","Malaysia",40,1231101,72,"","2025-10-30","12:51:18"
"1621064095371269","ommuruga","Malaysia",41,1888092,483,"","2025-10-30","12:51:18"
"1640817346894854","feminineenergy","Malaysia",42,1907259,500,"","2025-10-30","12:51:18"
"1688819613940737","တရွာသားအချစ်ကပိုပါတယ်","Malaysia",43,303174,424,"","2025-10-30","12:51:18"
"1600868170567685","情侶","Malaysia",44,1121761,463,"","2025-10-30","12:51:18"
"1721","afgan","Malaysia",45,1787271,532,"","2025-10-30","12:51:18"
"20275936","ombakbesar","Malaysia",46,2278667,62,"","2025-10-30","12:51:18"
"7422699805589110801","str2025","Malaysia",47,1091400,59,"","2025-10-30","12:51:18"
"1693136626760705","ikmalnour","Malaysia",48,5165437,256,"","2025-10-30","12:51:18"
"75296811","plkn","Malaysia",49,2339263,236,"","2025-10-30","12:51:18"
"17000","pope","Malaysia",50,316694,237,"","2025-10-30","12:51:18"
"35395876","harisantri","Malaysia",51,1162921,64,"Education","2025-10-30","12:51:18"
"1075737","niche","Malaysia",52,2592729,251,"Beauty & Personal Care","2025-10-30","12:51:18"
"65316074","aseansummit","Malaysia",53,19097067,729,"","2025-10-30","12:51:18"
"119177","23","Malaysia",54,806467,379,"","2025-10-30","12:51:18"
"7189109770094608410","sumbangantunairahmah","Malaysia",55,1470765,46,"","2025-10-30","12:51:18"
"7215935467458412571","byoncombatshowbiz","Malaysia",56,42092919,227,"Sports & Outdoor","2025-10-30","12:51:18"
"63940027","tanyasamapokok","Malaysia",57,885245,203,"","2025-10-30","12:51:18"
"7320151009844527106","harszan","Malaysia",58,21775832,224,"","2025-10-30","12:51:18"
"1706204672291842","আমাকে_সাপোর্ট_করো_আমিও_করব💯✅💞🥀","Malaysia",59,237183,171,"","2025-10-30","12:51:18"
"1621529995127814","muscat_oman🇴🇲","Malaysia",60,924076,52,"","2025-10-30","12:51:18"
"1683430018260993","sasthiviratham","Malaysia",61,819093,324,"","2025-10-30","12:51:18"
"1669648971185154","လွှမ်းပိုင်","Malaysia",62,1153981,94,"","2025-10-30","12:51:18"
"32914308","p3k","Malaysia",63,11855304,72,"","2025-10-30","12:51:18"
"1614251417460738","airpasangbesar","Malaysia",64,2401211,43,"News & Entertainment","2025-10-30","12:51:18"
"1681173486622721","uqashakamaladli","Malaysia",65,6013642,91,"News & Entertainment","2025-10-30","12:51:18"
"7570637","atleticodemadrid","Malaysia",66,1608757,51,"Sports & Outdoor","2025-10-30","12:51:18"
"1627826089142274","kumbangbunga","Malaysia",67,1486127,123,"News & Entertainment","2025-10-30","12:51:18"
"9668151","batch2","Malaysia",68,5888805,196,"","2025-10-30","12:51:18"
"1605901267243014","omsaravanabava","Malaysia",69,1094602,635,"","2025-10-30","12:51:18"
"1667965516697606","rerir","Malaysia",70,2117338,148,"Games","2025-10-30","12:51:18"
"1613760341226498","九皇爷","Malaysia",71,700195,322,"","2025-10-30","12:51:18"
"1689591579731969","masjidrusila","Malaysia",72,12713968,104,"","2025-10-30","12:51:18"
"310461","louvre","Malaysia",73,12617797,46,"Travel","2025-10-30","12:51:18"
"7462711447957864453","22102025","Malaysia",74,65801,109,"","2025-10-30","12:51:18"
"30397879","ma63","Malaysia",75,2001000,120,"","2025-10-30","12:51:18"
"274468","didi","Malaysia",76,1270996,100,"","2025-10-30","12:51:18"
"7178392239088467994","semuaorangツ","Malaysia",77,968109,340,"","2025-10-30","12:51:18"
"13582181","sejiwa","Malaysia",78,933414,125,"","2025-10-30","12:51:18"
"7236881152249135110","furinagenshinimpact","Malaysia",79,529148,106,"Games","2025-10-30","12:51:18"
"7252186334792843269","byon6","Malaysia",80,20710806,214,"Sports & Outdoor","2025-10-30","12:51:18"
"1664685592262657","reviewbarang","Malaysia",81,1133460,163,"Tech & Electronics","2025-10-30","12:51:18"
"1690080584787970","ommuruganthunai🙏🦚","Malaysia",82,839305,513,"","2025-10-30","12:51:18"
"7234796680472690694","haji2026","Malaysia",83,1892270,257,"","2025-10-30","12:51:18"
"11596","raining","Malaysia",84,377427,158,"","2025-10-30","12:51:18"
"1655567227134982","heroes4hope","Malaysia",85,190641,135,"","2025-10-30","12:51:18"
"1614087276293121","joyuri","Malaysia",86,1264080,83,"Games","2025-10-30","12:51:18"
"7325714581911764993","tawaranharigaji","Malaysia",87,51886528,654,"Apparel & Accessories","2025-10-30","12:51:18"
"7330247565399490566","lelakitidakbercerita","Malaysia",88,1274125,238,"","2025-10-30","12:51:18"
"513582","arsenalfc","Malaysia",89,1410528,130,"Sports & Outdoor","2025-10-30","12:51:18"
"4243133","bellingham","Malaysia",90,4472026,192,"Sports & Outdoor","2025-10-30","12:51:18"
"1689536822662146","whitelilycookie","Malaysia",91,783200,71,"Games","2025-10-30","12:51:18"
"1696296970420242","mplphilippines","Malaysia",92,13724374,203,"Games","2025-10-30","12:51:18"
"1684044878644225","kurungchiffon","Malaysia",93,392635,213,"Apparel & Accessories","2025-10-30","12:51:18"
"25846367","40kfollowers","Malaysia",94,2499253,52,"","2025-10-30","12:51:18"
"7057040","vel","Malaysia",95,1193279,387,"","2025-10-30","12:51:18"
"1616737615602694","sashtiviratham","Malaysia",96,906583,229,"","2025-10-30","12:51:18"
"93590","takemeback","Malaysia",97,2423036,27,"Travel","2025-10-30","12:51:18"
"7105980914798166043","kuijsi","Malaysia",98,238730,94,"Education","2025-10-30","12:51:18"
"9232849","neelofa","Malaysia",99,2110974,116,"Apparel & Accessories","2025-10-30","12:51:18"
"7170588213710028826","lovefoodfest","Malaysia",100,4628360,169,"Food & Beverage","2025-10-30","12:51:18"
